City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saskylakh,71.9167,114.0833,-30.99,100,94,1.67,RU,1680123182
1,clyde river,70.4692,-68.5914,-17.87,78,40,1.03,CA,1680123182
2,hamilton,39.1834,-84.5333,14.58,36,20,8.23,US,1680123157
3,saint-philippe,-21.3585,55.7679,25.77,77,73,4.0,RE,1680123183
4,itatiaia,-22.4961,-44.5633,22.24,95,99,1.04,BR,1680123183
5,rawson,-43.3002,-65.1023,16.32,23,90,8.33,AR,1680123183
6,houma,29.5958,-90.7195,17.0,55,89,5.14,US,1680122964
7,puerto ayora,-0.7393,-90.3518,31.98,85,90,2.24,EC,1680123184
8,kodiak,57.79,-152.4072,3.73,81,100,6.17,US,1680122967
9,kapoeta,4.7717,33.5903,26.69,51,36,2.42,SS,1680123184
10,new norfolk,-42.7826,147.0587,12.73,76,100,0.89,AU,1680123184
11,qaanaaq,77.484,-69.3632,-22.57,67,87,2.73,GL,1680123184
12,saint george,37.1041,-113.5841,20.7,24,0,10.8,US,1680123134
13,bredasdorp,-34.5322,20.0403,14.55,73,64,2.56,ZA,1680123185
14,martapura,-3.4167,114.85,25.05,100,100,0.51,ID,1680123185
15,kaitangata,-46.2817,169.8464,9.46,62,92,3.23,NZ,1680123186
16,kalemie,-5.9475,29.1947,21.35,85,88,0.82,CD,1680123186
17,castro,-24.7911,-50.0119,21.08,80,77,1.5,BR,1680123187
18,waingapu,-9.6567,120.2641,25.47,85,100,2.03,ID,1680123187
19,kununurra,-15.7667,128.7333,21.99,94,95,0.51,AU,1680123188
20,ortona,42.3496,14.4039,11.58,57,24,1.48,IT,1680123188
21,howard springs,-12.497,131.047,25.95,83,79,1.62,AU,1680123188
22,hasaki,35.7333,140.8333,11.22,75,56,1.22,JP,1680123189
23,sarai,53.7458,41.0213,6.38,88,100,2.87,RU,1680123189
24,port elizabeth,-33.918,25.5701,16.16,70,0,10.8,ZA,1680123189
25,dossor,47.5272,52.9811,13.88,61,0,3.7,KZ,1680123190
26,buraydah,26.326,43.975,22.25,19,65,4.64,SA,1680123190
27,port-gentil,-0.7193,8.7815,24.98,100,20,1.03,GA,1680123191
28,sedalia,38.7045,-93.2283,15.24,35,24,1.16,US,1680123191
29,bluff,-46.6,168.3333,7.67,68,35,6.22,NZ,1680123191
30,hobart,-42.8794,147.3294,12.92,73,75,6.69,AU,1680123047
31,upernavik,72.7868,-56.1549,-25.92,86,49,3.48,GL,1680123193
32,yellowknife,62.456,-114.3525,-6.71,63,100,3.6,CA,1680123172
33,barrow,71.2906,-156.7887,-12.0,85,99,4.41,US,1680123194
34,kitui,-1.367,38.0106,20.13,69,100,0.71,KE,1680123195
